epoch total_loss interior_loss down_yy_loss up_yy_loss down_loss up_loss left_loss right_loss
128 4.42376465e-01 8.93039256e-02 2.26898745e-01 1.46755911e-02 3.85137126e-02 1.05022443e-02 4.77684691e-04 6.20045662e-02
129 3.89195919e-01 7.73772448e-02 1.93180054e-01 1.56978145e-02 3.28311212e-02 1.00222779e-02 5.08320343e-04 5.95791116e-02
130 4.13234085e-01 8.16736817e-02 2.15984330e-01 1.50882481e-02 3.17650735e-02 9.78304632e-03 5.65993076e-04 5.83736524e-02
131 4.08160686e-01 8.60897154e-02 2.05762058e-01 1.59790162e-02 3.36323455e-02 9.74567235e-03 6.10158313e-04 5.63417152e-02
132 4.09221828e-01 7.82990307e-02 2.14611039e-01 1.57464053e-02 3.50649208e-02 9.44330730e-03 6.67852815e-04 5.53892851e-02
133 4.16777074e-01 7.79019594e-02 2.23119542e-01 1.52911674e-02 3.52245942e-02 9.17389523e-03 7.45370926e-04 5.53205684e-02
134 3.92961055e-01 7.44901374e-02 1.98953331e-01 1.61307789e-02 3.63052227e-02 9.16002132e-03 7.86768505e-04 5.71348183e-02
135 3.97923112e-01 7.90563300e-02 2.03674242e-01 1.62266716e-02 3.31606157e-02 9.26452316e-03 8.42547801e-04 5.56981713e-02
136 4.12729740e-01 7.82380924e-02 2.22198799e-01 1.48470113e-02 3.07173114e-02 8.91277008e-03 8.72826029e-04 5.69429472e-02
137 4.06983167e-01 7.57675618e-02 2.17662945e-01 1.53332260e-02 3.45676430e-02 8.66235420e-03 9.40478232e-04 5.40489443e-02
138 3.96062285e-01 6.88642189e-02 2.10195988e-01 1.57036409e-02 3.44641693e-02 8.21903441e-03 1.02572236e-03 5.75894639e-02
139 4.00248677e-01 7.51257688e-02 2.12997258e-01 1.60755012e-02 3.13158184e-02 8.32804479e-03 1.06474047e-03 5.53415753e-02
140 3.77301604e-01 7.45588988e-02 1.94113493e-01 1.43764187e-02 3.18477303e-02 8.08154419e-03 1.11881585e-03 5.32046482e-02
141 3.69986653e-01 6.87397793e-02 1.90934226e-01 1.51598025e-02 3.26067060e-02 7.87511002e-03 1.23390730e-03 5.34371026e-02
142 3.70562643e-01 7.34124631e-02 1.85258135e-01 1.57530345e-02 3.34060155e-02 8.12047254e-03 1.31293817e-03 5.32995798e-02
143 3.78126919e-01 7.11830035e-02 2.00323343e-01 1.63115133e-02 2.89613046e-02 7.61879096e-03 1.29832490e-03 5.24306297e-02
144 3.74831557e-01 6.83257356e-02 1.95244431e-01 1.60445888e-02 3.35998721e-02 7.58247776e-03 1.42010150e-03 5.26143201e-02
145 3.51135641e-01 6.87563494e-02 1.74171478e-01 1.65312402e-02 3.00484635e-02 7.54737994e-03 1.49587588e-03 5.25848828e-02
146 3.66758794e-01 6.21628501e-02 1.95617750e-01 1.62890125e-02 2.81822756e-02 7.73567520e-03 1.49043230e-03 5.52807823e-02
147 3.76983672e-01 5.87381460e-02 2.09108174e-01 1.60565656e-02 3.05106714e-02 7.50315422e-03 1.58092531e-03 5.34860529e-02
148 3.39698106e-01 5.58268391e-02 1.79877907e-01 1.74714793e-02 2.66346242e-02 7.38780759e-03 1.65716978e-03 5.08422554e-02
149 3.65724653e-01 6.44348487e-02 1.97453871e-01 1.63152274e-02 2.93525886e-02 7.26838363e-03 1.67691289e-03 4.92228493e-02
150 3.61530602e-01 7.11893663e-02 1.82627261e-01 1.67037826e-02 3.05222608e-02 7.57339131e-03 1.74408732e-03 5.11704311e-02
151 3.64867151e-01 6.48535043e-02 1.91754192e-01 1.67635977e-02 3.21210064e-02 7.63131818e-03 1.78813015e-03 4.99553643e-02
152 3.43864441e-01 5.76161370e-02 1.81912571e-01 1.59667227e-02 2.66984757e-02 7.72816595e-03 1.75106130e-03 5.21913208e-02
153 3.54941517e-01 6.01014644e-02 1.88813165e-01 1.69332810e-02 2.84852218e-02 7.85133895e-03 1.73199305e-03 5.10250591e-02
154 3.56854111e-01 6.07136153e-02 1.90925151e-01 1.70065463e-02 2.99752411e-02 7.93785509e-03 1.82816491e-03 4.84675504e-02
155 3.53011191e-01 5.99966012e-02 1.82509348e-01 1.66905299e-02 3.31682973e-02 7.76543608e-03 1.72738289e-03 5.11535890e-02
156 3.51994485e-01 5.89605756e-02 1.89327568e-01 1.67321991e-02 2.97338814e-02 7.81704299e-03 1.78753841e-03 4.76356968e-02
157 3.52915645e-01 5.74831776e-02 1.94297671e-01 1.68905109e-02 2.76739709e-02 7.85363559e-03 1.87354500e-03 4.68431860e-02
158 3.47483695e-01 5.66373095e-02 1.88415781e-01 1.74067430e-02 2.98252460e-02 7.75708910e-03 1.94577046e-03 4.54957746e-02
159 3.64046067e-01 6.08172975e-02 1.99685439e-01 1.68068185e-02 2.86660362e-02 7.92563986e-03 1.91282609e-03 4.82320264e-02
160 3.42806339e-01 6.16853051e-02 1.83067724e-01 1.79937575e-02 2.73579154e-02 7.64524052e-03 1.96353835e-03 4.30928729e-02
161 3.52089882e-01 6.20701946e-02 1.89854383e-01 1.75312068e-02 2.84127258e-02 7.76496902e-03 2.01403094e-03 4.44423519e-02
162 3.17853928e-01 5.06961755e-02 1.68204844e-01 1.64585020e-02 2.81049795e-02 7.92483520e-03 2.14918586e-03 4.43154015e-02
163 3.42006981e-01 6.17723614e-02 1.77887425e-01 1.66369174e-02 2.75045130e-02 8.04813206e-03 2.12103827e-03 4.80366461e-02
164 3.41195792e-01 5.85380048e-02 1.80059984e-01 1.78822801e-02 2.66907047e-02 7.38879479e-03 2.09941063e-03 4.85365987e-02
165 3.29291761e-01 5.77965938e-02 1.69705912e-01 1.76202152e-02 2.77254879e-02 7.82021135e-03 2.05503730e-03 4.65682596e-02
166 3.35374147e-01 6.17022030e-02 1.73582956e-01 1.68519411e-02 2.41479967e-02 8.21795501e-03 2.12535565e-03 4.87457588e-02
167 3.27200979e-01 5.48936725e-02 1.72030032e-01 1.73952486e-02 2.59101167e-02 8.22815578e-03 2.14063958e-03 4.66031134e-02
168 3.41711909e-01 5.86718582e-02 1.80849344e-01 1.71173271e-02 2.63932012e-02 8.23067967e-03 2.21441570e-03 4.82350886e-02
169 3.05604964e-01 5.10352217e-02 1.56794950e-01 1.74139943e-02 2.74957586e-02 8.03048443e-03 2.09245039e-03 4.27421033e-02
170 3.24361950e-01 5.29595464e-02 1.67026266e-01 1.74110904e-02 3.02721970e-02 8.41124170e-03 2.14478699e-03 4.61368524e-02
171 3.23058188e-01 5.45872077e-02 1.70708939e-01 1.77632570e-02 2.61692330e-02 8.17589648e-03 2.20925058e-03 4.34443913e-02
172 3.11600745e-01 5.41313477e-02 1.58947036e-01 1.72368195e-02 2.63381582e-02 8.42916686e-03 2.32799351e-03 4.41902168e-02
173 3.31015229e-01 5.71002997e-02 1.77293807e-01 1.64869893e-02 2.66226176e-02 8.49305745e-03 2.16708006e-03 4.28513661e-02
174 3.18699569e-01 5.52023202e-02 1.67384431e-01 1.76843889e-02 2.73687188e-02 8.50897469e-03 2.25538807e-03 4.02953662e-02
